group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,256,200000,200000,elements,7321659.0,ns,2
search_no_match,256,200000,200000,elements,11751471.0,ns,4
search_no_match,256,200000,200000,elements,17885765.0,ns,6
search_no_match,256,200000,200000,elements,24184963.0,ns,8
search_no_match,256,200000,200000,elements,31355804.0,ns,10
search_no_match,256,200000,200000,elements,37835407.0,ns,12
search_no_match,256,200000,200000,elements,42801844.0,ns,14
search_no_match,256,200000,200000,elements,51316949.0,ns,16
search_no_match,256,200000,200000,elements,51164158.0,ns,18
search_no_match,256,200000,200000,elements,60804103.0,ns,20
search_no_match,256,200000,200000,elements,69091396.0,ns,22
search_no_match,256,200000,200000,elements,73564376.0,ns,24
search_no_match,256,200000,200000,elements,82125540.0,ns,26
search_no_match,256,200000,200000,elements,91097270.0,ns,28
search_no_match,256,200000,200000,elements,88698670.0,ns,30
search_no_match,256,200000,200000,elements,97447753.0,ns,32
search_no_match,256,200000,200000,elements,108700628.0,ns,34
search_no_match,256,200000,200000,elements,107484653.0,ns,36
search_no_match,256,200000,200000,elements,119424083.0,ns,38
search_no_match,256,200000,200000,elements,118751273.0,ns,40
search_no_match,256,200000,200000,elements,125113182.0,ns,42
search_no_match,256,200000,200000,elements,136608151.0,ns,44
search_no_match,256,200000,200000,elements,135021443.0,ns,46
search_no_match,256,200000,200000,elements,146722984.0,ns,48
search_no_match,256,200000,200000,elements,158839786.0,ns,50
search_no_match,256,200000,200000,elements,154669271.0,ns,52
search_no_match,256,200000,200000,elements,165890901.0,ns,54
search_no_match,256,200000,200000,elements,175949993.0,ns,56
search_no_match,256,200000,200000,elements,179195705.0,ns,58
search_no_match,256,200000,200000,elements,198772196.0,ns,60
search_no_match,256,200000,200000,elements,209937224.0,ns,62
search_no_match,256,200000,200000,elements,215088160.0,ns,64
search_no_match,256,200000,200000,elements,200534965.0,ns,66
search_no_match,256,200000,200000,elements,210233686.0,ns,68
search_no_match,256,200000,200000,elements,215826652.0,ns,70
search_no_match,256,200000,200000,elements,218493802.0,ns,72
search_no_match,256,200000,200000,elements,224682719.0,ns,74
search_no_match,256,200000,200000,elements,225074078.0,ns,76
search_no_match,256,200000,200000,elements,233402836.0,ns,78
search_no_match,256,200000,200000,elements,245575380.0,ns,80
search_no_match,256,200000,200000,elements,250673411.0,ns,82
search_no_match,256,200000,200000,elements,248767655.0,ns,84
search_no_match,256,200000,200000,elements,257322795.0,ns,86
search_no_match,256,200000,200000,elements,266547090.0,ns,88
search_no_match,256,200000,200000,elements,273383047.0,ns,90
search_no_match,256,200000,200000,elements,279555399.0,ns,92
search_no_match,256,200000,200000,elements,274184748.0,ns,94
search_no_match,256,200000,200000,elements,295407356.0,ns,96
search_no_match,256,200000,200000,elements,294259261.0,ns,98
search_no_match,256,200000,200000,elements,308264391.0,ns,100
search_no_match,256,200000,200000,elements,309518889.0,ns,102
search_no_match,256,200000,200000,elements,314337196.0,ns,104
search_no_match,256,200000,200000,elements,315244330.0,ns,106
search_no_match,256,200000,200000,elements,329491750.0,ns,108
search_no_match,256,200000,200000,elements,337455868.0,ns,110
search_no_match,256,200000,200000,elements,352494218.0,ns,112
search_no_match,256,200000,200000,elements,376939078.0,ns,114
search_no_match,256,200000,200000,elements,366812392.0,ns,116
search_no_match,256,200000,200000,elements,364932691.0,ns,118
search_no_match,256,200000,200000,elements,361818675.0,ns,120
